system:index,date,site,u_component_of_wind_10m,v_component_of_wind_10m,wind_speed,.geo,temp_c,pressure_pa,met_rain_mm
20240506_0000000000000000001c,2024-05-06,4514 1/2 Durant St,-2.28094228108724,3.7804277737935386,4.415238594064995,"{""type"":""Point"",""coordinates"":[-95.12782208639072,29.66968566605182]}",24.837354914347316,101010.13167317708,2.0271241664886004
20240506_0000000000000000001d,2024-05-06,4530 N 17TH AVENUE,2.9593327840169272,0.4387326240539551,2.9916779308553,"{""type"":""Point"",""coordinates"":[-112.09590109293569,33.50375006573513]}",21.730746841430687,96586.42333984376,0.0
20240506_0000000000000000001e,2024-05-06,4545 Navajo St.,4.354148864746094,2.198477904001872,4.877695914133451,"{""type"":""Point"",""coordinates"":[-105.00484239729968,39.77897163263266]}",12.340854263305687,81089.67333984375,0.07113814353942871
20240506_0000000000000000001f,2024-05-06,4700A SAN MATEO NE,4.936953226725261,1.085888385772705,5.054963971110874,"{""type"":""Point"",""coordinates"":[-106.58550007962413,35.13512556344147]}",17.993604914347316,83098.67333984375,0.0
20240506_00000000000000000020,2024-05-06,533 First Street,1.131451924641927,-0.0481041272481282,1.1324740459870262,"{""type"":""Point"",""coordinates"":[-116.94434855486318,32.80097790330785]}",12.599724706014001,97700.21500651042,0.0
20240506_00000000000000000021,2024-05-06,5551 BETHEL ISLAND RD,2.8879216512044272,0.9426185290018716,3.0378645714898083,"{""type"":""Point"",""coordinates"":[-121.64334032678234,38.00640315917001]}",13.002719497680687,102182.13167317708,0.0
20240506_00000000000000000022,2024-05-06,"5888 MISSION BLVD., RUBIDOUX",0.7328109741210938,0.6385820706685384,0.9720077081852924,"{""type"":""Point"",""coordinates"":[-117.4151226076818,34.000676746232195]}",14.743279393514001,96816.50667317708,0.08979439735412598
20240506_00000000000000000023,2024-05-06,8449 S. Monroe St.,1.0349349975585938,0.8222572008768717,1.3218159302888866,"{""type"":""Point"",""coordinates"":[-111.89450579385681,40.59790337750221]}",3.919955825805687,85404.38167317708,10.2465152740478
20240506_00000000000000000024,2024-05-06,9525 1/2 Clinton Dr,-2.0421320597330728,3.5325029691060386,4.080303980849052,"{""type"":""Point"",""coordinates"":[-95.25812147827347,29.734128594476218]}",24.908888117472372,100909.96500651042,1.5929937362670001
20240506_00000000000000000025,2024-05-06,"96 STATE STREET, Rutland, Vermont",0.6728744506835938,1.190136432647705,1.3671813174184884,"{""type"":""Point"",""coordinates"":[-72.982133696355,43.60938402855321]}",12.269076919555687,97447.17333984376,2.8612315654754
20240506_00000000000000000026,2024-05-06,"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",-0.7037938435872396,0.4386512438456217,0.8293013252121396,"{""type"":""Point"",""coordinates"":[-90.19861584528427,38.656598061076124]}",19.334913508097316,99580.17333984376,8.9092254638671
20240506_00000000000000000027,2024-05-06,E. 14TH & ORANGE,-1.455462137858073,-2.1909467379252114,2.6303265278599,"{""type"":""Point"",""coordinates"":[-81.67991351997283,41.49890041815938]}",14.167188898722372,98818.59000651042,0.004678964614868164
20240506_00000000000000000028,2024-05-06,"FRANCIS SCHOOL, 64 BOURNE AVE",1.0557276407877605,1.4051429430643718,1.7575515759052125,"{""type"":""Point"",""coordinates"":[-71.36103196747581,41.843214365102256]}",13.431511815389001,101072.00667317708,3.2594799995422
20240506_00000000000000000029,2024-05-06,GREAT SMOKY MOUNTAINS NP LOOK ROCK,0.3012110392252604,1.4131792386372883,1.4449234065052123,"{""type"":""Point"",""coordinates"":[-83.94159186978585,35.6340187075031]}",21.035352961222372,97259.59000651042,6.1635673046112
20240506_0000000000000000002a,2024-05-06,"Howard University's Beltsville Laboratory, 12003 Old Baltimore Pike",0.1707178751627604,0.8453081448872884,0.8623748910496392,"{""type"":""Point"",""coordinates"":[-77.02052302450933,38.924906630563015]}",19.457472101847316,100793.84000651042,0.866621732711792
20240506_0000000000000000002b,2024-05-06,NCore - North Cheyenne Soccer Complex,5.661115010579427,2.661510944366455,6.255546632388741,"{""type"":""Point"",""coordinates"":[-104.77241175488882,41.18113595888872]}",10.427442804972372,79386.75667317708,1.5973150730133001
20240506_0000000000000000002c,2024-05-06,PIKE AVE AT RIVER ROAD,0.4177881876627604,2.5414141019185386,2.575525695305901,"{""type"":""Point"",""coordinates"":[-92.28630899019394,34.761394926849015]}",22.121127700805687,99871.29833984376,1.5377104282379002
20240506_0000000000000000002d,2024-05-06,"Piney Run, Frostburg Reservoir, Finzel",0.1205469767252604,0.0487993558247884,0.1300498009476169,"{""type"":""Point"",""coordinates"":[-79.0037929409494,39.7062303171478]}",15.691602961222372,93216.71500651042,4.3375194072723
20240506_0000000000000000002e,2024-05-06,Queens College   65-30 Kissena Blvd  Parking Lot#6,-0.0034764607747395,0.3307207425435384,0.3307390139189323,"{""type"":""Point"",""coordinates"":[-73.82028862586597,40.73694260744972]}",14.636915461222372,101349.46500651042,0.5988776683807373
20240506_0000000000000000002f,2024-05-06,SE LAFAYETTE/5824 SE LAFAYETTE,1.105206807454427,2.785168170928955,2.996438523914573,"{""type"":""Point"",""coordinates"":[-122.60297900539337,45.49678773144525]}",8.437289810180687,100112.54833984376,11.3206505775451
20240507_00000000000000000000,2024-05-07,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",0.3963851928710937,0.5325291951497396,0.6638588440431321,"{""type"":""Point"",""coordinates"":[-115.4871589216076,32.677059485032586]}",24.69351158142092,100999.65804036458,0.0008702277796146518
20240507_00000000000000000001,2024-05-07,1061-A Leesville Ave,-0.0193049112955729,3.59539540608724,3.5954472330592417,"{""type"":""Point"",""coordinates"":[-91.17921675794754,30.462246287291286]}",26.052805201212607,100848.49137369792,0.927990674938428
20240507_00000000000000000002,2024-05-07,1100 21st Street,2.6429265340169272,-0.6068751017252604,2.711707589933836,"{""type"":""Point"",""coordinates"":[-122.28293594548441,37.81489814622768]}",12.936594263712607,100175.44970703124,0.0008702277796146518
20240507_00000000000000000003,2024-05-07,1130 EASTWAY DRIVE,1.9073715209960935,1.4435806274414062,2.3920683825992675,"{""type"":""Point"",""coordinates"":[-80.77890756111357,35.241064886269236]}",22.17227134704592,98728.74137369792,0.9122252463953372
20240507_00000000000000000004,2024-05-07,1250 NORTH 1400 WEST,1.6640040079752605,-0.1941146850585937,1.6752879900223507,"{""type"":""Point"",""coordinates"":[-111.93144498698354,40.79410382385383]}",5.521962102254236,84670.86637369792,6.666725873913
20240507_00000000000000000005,2024-05-07,"128 S 'H' ST, LOMPOC",3.4216130574544272,-4.107526143391927,5.345952387890374,"{""type"":""Point"",""coordinates"":[-120.45766981577214,34.63795809148752]}",13.921132024129236,98763.57470703124,0.0008702277796146518
20240507_00000000000000000006,2024-05-07,"14360 ARROW BLVD., FONTANA",0.5600407918294271,0.8642756144205729,1.0298631104156466,"{""type"":""Point"",""coordinates"":[-117.49187265501371,34.099717839730275]}",16.035389836629236,95671.49137369792,0.0008702277796146518
20240507_00000000000000000007,2024-05-07,158B JACKSON ST,1.601910909016927,-1.280011494954427,2.050499448340063,"{""type"":""Point"",""coordinates"":[-121.89490051271247,37.34878831311098]}",11.572255071004236,101355.86637369792,0.0027477740900394565
20240507_00000000000000000008,2024-05-07,"1630 N MAIN ST, LOS ANGELES",0.2234929402669271,1.3928807576497395,1.410696955189196,"{""type"":""Point"",""coordinates"":[-118.22744150568907,34.0654451890335]}",17.26333580017092,100385.65804036458,0.0008702277796146518
20240507_00000000000000000009,2024-05-07,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,1.623761494954427,1.124651590983073,1.975206974875644,"{""type"":""Point"",""coordinates"":[-112.04599037484448,33.45829844869736]}",24.485585149129236,96509.94970703124,0.0008702277796146518
20240507_0000000000000000000a,2024-05-07,"1675 SOUTH 600 EAST, SALT LAKE CITY",1.6640040079752605,-0.1941146850585937,1.6752879900223507,"{""type"":""Point"",""coordinates"":[-111.87298617217289,40.734119996482875]}",5.521962102254236,84670.86637369792,6.666725873913
20240507_0000000000000000000b,2024-05-07,1810 N 16TH STREET,-4.453915913899739,2.41949208577474,5.068659479706242,"{""type"":""Point"",""coordinates"":[-100.76830845473447,46.825350135713116]}",12.768706893920921,92564.90804036458,8.1405401229517
20240507_0000000000000000000c,2024-05-07,"1865 D RUMRILL BLVD, San Pablo",2.4109115600585938,-0.5652491251627604,2.4762877708217657,"{""type"":""Point"",""coordinates"":[-122.35685446364737,37.96055022303744]}",13.487538274129236,100888.11637369792,0.0008702277796146518
20240507_0000000000000000000d,2024-05-07,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,0.5034001668294271,-0.7780176798502604,0.9266732099955612,"{""type"":""Point"",""coordinates"":[-73.87795372068912,40.86783060067151]}",18.617258326212607,100488.19970703124,0.0008702277796146518
20240507_0000000000000000000e,2024-05-07,2105 BROADWAY,3.6500066121419272,1.225603739420573,3.850279573584428,"{""type"":""Point"",""coordinates"":[-104.9876391854355,39.75139209261712]}",8.707102076212607,81440.90804036458,0.7887244224207279
20240507_0000000000000000000f,2024-05-07,2401 HARTMAN STREET  MATH & SCIENCE CTR,1.1847559611002605,0.8283869425455729,1.4456388255517365,"{""type"":""Point"",""coordinates"":[-77.40007724707759,37.55676078624371]}",21.277821477254236,100446.90804036458,2.7465879916803
20240507_00000000000000000010,2024-05-07,250 WM. HOWARD TAFT,-0.2712580362955729,1.6588719685872395,1.6809036648242022,"{""type"":""Point"",""coordinates"":[-84.50388897172643,39.12895955386975]}",19.755116399129236,98119.65804036458,2.3982286452906
20240507_00000000000000000011,2024-05-07,"2500 1ST STREET, N.W. WASHINGTON DC",-0.4678726196289062,0.4924087524414062,0.6792430843809286,"{""type"":""Point"",""coordinates"":[-77.0123450331773,38.922449665882574]}",20.614816919962607,100415.24137369792,9.4629585742609
20240507_00000000000000000012,2024-05-07,266-298 Spruce Street,0.4245020548502604,-0.6152165730794271,0.7474579763195304,"{""type"":""Point"",""coordinates"":[-75.1247852617484,39.9346254731053]}",19.94619712829592,100541.11637369792,0.003075599636304105
20240507_00000000000000000013,2024-05-07,"2730 CANNONS LANE, BOWMAN FIELD",0.436017354329427,2.39458974202474,2.4339620304940137,"{""type"":""Point"",""coordinates"":[-85.66722384555992,38.22644195975335]}",20.712147649129236,98841.61637369792,1.9776284694329997
20240507_00000000000000000014,2024-05-07,2956-A TREAT BOULEVARD,2.1550521850585938,-0.2121810913085937,2.165472404773315,"{""type"":""Point"",""coordinates"":[-122.02577512863112,37.93650675015726]}",13.086903508504236,99146.40804036458,0.0008702277796146518
20240507_00000000000000000015,2024-05-07,304 TUOLUMNE ST.,2.1948877970377603,-0.3557357788085937,2.223528813824959,"{""type"":""Point"",""coordinates"":[-122.2381487345036,38.102679610014974]}",13.896962102254236,101167.82470703124,0.0008702277796146518
20240507_00000000000000000016,2024-05-07,"3120 E. 30TH ST., WASHINGTON PARK",-0.8211034138997396,2.93182118733724,3.044632373676229,"{""type"":""Point"",""coordinates"":[-86.11445384481632,39.81204478514608]}",19.77481040954592,97834.15804036458,6.5794646739618
20240507_00000000000000000017,2024-05-07,3174 E. 78TH AVE.,4.212587992350261,1.319964090983073,4.4145444606186,"{""type"":""Point"",""coordinates"":[-104.95012030917181,39.838380235967726]}",8.926584498087607,81772.90804036458,0.1823365687982914
20240507_00000000000000000018,2024-05-07,3801 SPRING FOREST RD.,2.3146387736002603,1.213762919108073,2.6135747695551905,"{""type"":""Point"",""coordinates"":[-78.576504041604,35.85690241455855]}",22.186268742879236,100032.74137369792,2.5175273418085
20240507_00000000000000000019,2024-05-07,400 W RIVER ROAD,1.265851338704427,-0.0292383829752604,1.2661889648621951,"{""type"":""Point"",""coordinates"":[-110.98254382370922,32.29563244002188]}",22.335194524129236,92167.15804036458,0.0008702277796146518
20240507_0000000000000000001a,2024-05-07,4103 BEACON HILL S,-0.3308690388997395,0.7709325154622396,0.8389346007284321,"{""type"":""Point"",""coordinates"":[-122.31584857035989,47.58691554553009]}",8.164540227254236,101235.99137369792,16.021049022640398
20240507_0000000000000000001b,2024-05-07,4250 Karen Ave,0.4787012736002604,1.2295506795247395,1.3194505609784173,"{""type"":""Point"",""coordinates"":[-115.0810775068724,36.14145548918313]}",20.90298423767092,92908.94970703124,0.0008702277796146518
20240507_0000000000000000001c,2024-05-07,4514 1/2 Durant St,-1.0950291951497395,4.719337463378906,4.844712068996664,"{""type"":""Point"",""coordinates"":[-95.12782208639072,29.66968566605182]}",25.960520044962607,100661.57470703124,1.3205766677515
20240507_0000000000000000001d,2024-05-07,4530 N 17TH AVENUE,1.7692286173502605,1.0606053670247395,2.0627781376126704,"{""type"":""Point"",""coordinates"":[-112.09590109293569,33.50375006573513]}",24.542795435587607,96537.19970703124,0.0008702277796146518
20240507_0000000000000000001e,2024-05-07,4545 Navajo St.,3.6500066121419272,1.225603739420573,3.850279573584428,"{""type"":""Point"",""coordinates"":[-105.00484239729968,39.77897163263266]}",8.707102076212607,81440.90804036458,0.7887244224207279
20240507_0000000000000000001f,2024-05-07,4700A SAN MATEO NE,3.7432683308919272,0.9629084269205728,3.865132654346173,"{""type"":""Point"",""coordinates"":[-106.58550007962413,35.13512556344147]}",15.888498560587607,83236.11637369792,0.0008702277796146518
20240507_00000000000000000020,2024-05-07,533 First Street,0.7600326538085938,0.4464696248372395,0.8814673906377021,"{""type"":""Point"",""coordinates"":[-116.94434855486318,32.80097790330785]}",14.498361841837607,97539.53304036458,0.0008702277796146518
20240507_00000000000000000021,2024-05-07,5551 BETHEL ISLAND RD,2.5415674845377603,-0.103864034016927,2.543688859908355,"{""type"":""Point"",""coordinates"":[-121.64334032678234,38.00640315917001]}",14.905181503295921,102007.24137369792,0.0008702277796146518
20240507_00000000000000000022,2024-05-07,"5888 MISSION BLVD., RUBIDOUX",0.7594629923502604,0.8074315388997396,1.1084808193016302,"{""type"":""Point"",""coordinates"":[-117.4151226076818,34.000676746232195]}",16.45596275329592,96672.11637369792,0.0008702277796146518
20240507_00000000000000000023,2024-05-07,8449 S. Monroe St.,0.5410792032877604,-0.6245346069335938,0.8263232899345243,"{""type"":""Point"",""coordinates"":[-111.89450579385681,40.59790337750221]}",6.350738143920921,85515.40804036458,9.169763326610699
20240507_00000000000000000024,2024-05-07,9525 1/2 Clinton Dr,-0.9228693644205728,4.209815979003906,4.309784036452714,"{""type"":""Point"",""coordinates"":[-95.25812147827347,29.734128594476218]}",26.277902857462607,100556.61637369792,1.2463092803614
20240507_00000000000000000025,2024-05-07,"96 STATE STREET, Rutland, Vermont",0.5867741902669271,-1.3912582397460938,1.509934912512724,"{""type"":""Point"",""coordinates"":[-72.982133696355,43.60938402855321]}",13.992258326212607,96913.74137369792,0.0008702277796146518
20240507_00000000000000000026,2024-05-07,"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",0.8072738647460938,3.7042414347330728,3.791186581994538,"{""type"":""Point"",""coordinates"":[-90.19861584528427,38.656598061076124]}",23.508615748087607,98648.15804036458,3.4775197505609
20240507_00000000000000000027,2024-05-07,E. 14TH & ORANGE,-1.909197489420573,-0.2374496459960937,1.923906803354437,"{""type"":""Point"",""coordinates"":[-81.67991351997283,41.49890041815938]}",16.477609888712607,98119.82470703124,0.02706646915839883
20240507_00000000000000000028,2024-05-07,"FRANCIS SCHOOL, 64 BOURNE AVE",0.8113021850585938,-0.3372217814127604,0.8785953365116641,"{""type"":""Point"",""coordinates"":[-71.36103196747581,41.843214365102256]}",17.58316001892092,100227.53304036458,0.0012576579706546909
20240507_00000000000000000029,2024-05-07,GREAT SMOKY MOUNTAINS NP LOOK ROCK,0.8492660522460938,1.859881083170573,2.0446052115343463,"{""type"":""Point"",""coordinates"":[-83.94159186978585,35.6340187075031]}",21.50039634704592,96847.28304036458,0.48739314075874063
